id,text
1357999284721525,"‼️‼️4.000 - 6.000 zł za spisanie i zamknięcie 1 umowy!
Tylko z mazowieckiego.
Gwarantuje 2 umowy w miesiącu. Plan to 10 w mc! 🔥"
1512648315923287,"WARSZAWA!

Potrzebuję hostessy lub hosta! 🙂

30.11,01.12.2022
godz. 13-19

ZADANIA: Rozdawanie ulotek, przekąsek

STAWKA: 240 zł całość na rękę ze statusem studenta (217zl bez statusu)

LOKALIZACJA: Konstruktorska

AGENCJA HOSTAMO 🙂"
1512730425915076,"PRACA OD JUTRA
Zatrudnię pełnoletnie osoby do metkowania i wieszakowania w sklepie odzieżowym w CH Młociny w godzinach 6-14.
Stawka: 19,70 brutto/h
Lokalizacja: CH Młociny
Dzień zlecenia: 28.11, 29.11, 01.12.
Jest to praca dodatkowa
Kontakt 797 421 092
Wyślij SMS o treści „Warszawa” a oddzwonię do Ciebie"
1512510969270355,"W związku z dynamicznie rozwijającym się Zespołem, prowadzę nabór do zespołu na stanowisko: specjalista ds Social Media.
- Praca w systemie Home Office
- Wynagrodzenie 3 500 zł- 4 500zł/msc
- Firma istnieje od 2002r
- Elastyczne godziny pracy
- Bez doświadczenia
- Bezpłatne szkolenie wdrażające do pracy
Zainteresowane osoby zapraszam do kontaktu. Ilość miejsc ograniczona 🙂"
1505264493328336,"Przy komputerze
Umowa, wynagrodzenie co miesiąc na czas
Bardzo atrakcyjne stawki
Dla studentów i nie tylko, elastyczny grafik"
1512909609230491,"🔸Praca w dziale z rybami w markecie na Białołęce
🔸Stawka brutto 30 zł/godz .
🔸Wypłaty tygodniowe
🔸Wymagane orzeczenie do celów sanitarnych
🐟tel. 693 315 862 🐟"
1512651302589655,"Witam,
firma wspolpracujaca z salonem Agata Meble poszukuje osób na stanowisko monter mebli.
Praca polega na pobraniu towaru z magazynu, transporcie mebli do klienta oraz na montażu w miejscu docelowym. Realizujemy montaże mebli paczkowanych salonowych i sypialnianych. Nie składamy kuchni ani mebli na wymiar.
Zlecenia wykonuje sie w dwuosobowychWięcej zespołach.
Zaladunek na magazynie od godziny 7:30-8:00. Koniec pracy zależne od tempa montażysty po zrealizowaniu zleceń.

Zlecenia wykonujmy na terenie Warszawy i okolic od poniedziałku do piątku (możliwość montowania w weekendy dla chętnych)
Pracę zaczynamy i kończymy na Targówku.
Chętnych zapraszam do kontaktu telefonicznego: 693 602 581."
1512903782564407,"Szukam 5 osób do pracy zdalnej!!!

Praca przez internet 📲💻
Darmowe szkolenie
Bez inwestycji - bez ryzyka ‼️
Bonusy na start
Zarobki uzależnione od Twojego zaangażowania 💰

Wymagania:
~ skończone 18 lat
~ obywatelstwo polskie
~ 2/3h poświęconego czasu dziennie
~ telefon/laptop z dostępem do internetu

Zapraszam do kontaktu 😇📩"
1512861852568600,Oferta stałej pracy na cały lub pół etatu.
1513304445857674,"PRACA OD JUTRA
Zatrudnię pełnoletnie osoby do metkowania i wieszakowania w sklepie odzieżowym w CH Nowa Stacja w Pruszkowie w godzinach 10-21.
Stawka: 21 brutto/h
Lokalizacja: CH Nowa Stacja
Dni zlecenia: 29.11 – 03.12
Jest to praca dodatkowa
Kontakt 797 421 092
Wyślij SMS o treści „Pruszków” a oddzwonię do Ciebie"
1513198422534943,"Poszukujemy studentów,praca dodatkowa w Hurtowni zielarskiej Green Port,do składania zamówień.Adres hurtowni,Stanisławów 2
Osoby zainteresowane, proszę o kontakt w wiadomości prywatnej."
1513194075868711,"Dzień dobry. Tu Oliwia z Medicover. Obecnie poszukuję Specjalisty ds. Rozliczeń 🧮
💡 ZOBACZ, KOGO SZUKAM:
🔎 Kontroluj zobowiązaniai weryfikuj faktury od zewnętrznych dostawców usług, w tym kontakt z kontrahentami,
🔎Współpracuj z kierownikiem zespołu oraz działami z obszaru dostawców w celu zapewnienia terminowej obsługi dostawców, efektywności rozliczeń w tym rozwoju systemów, narzędzi i procesów,
🔎Wystawiaj dokumenty księgowe w dedykowanym systemie operacyjnym oraz obsługuj i kontaktuj sięz klientem w zakresie wzajemnych rozliczeń,
🔎Zapewnij terminową realizacjęzaplanowanych zadań.
💡 POZNAJ SWOJE OBOWIĄZKI:
📣 Wykształcenia wyższego kierunkowego związanego z finansami, ekonomią bądź kierunkami pokrewnymi,
📣Doświadczenia zawodowego zdobytego w dziale finansowym,
📣Bardzo dobrej znajomości pakietu MS Office, zwłaszcza MS Excel,
📣Umiejętności organizacji własnego czasu pracy i priorytetyzacji zadań,
📣Chęci rozwoju i doskonalenia swoich umiejętności,
📣Mile widziane zdolności analityczne.
💡 ZOBACZ, CO GWARANTUJEMY
✅ Otrzymasz zatrudnienie w oparciu o umowę o pracę,
✅ Pracę w modelu stacjonarnym (ul. Aleje Jerozolimskie 96),
✅ Kompleksowe wdrożenie i możliwość realizacji własnych pomysłów,
✅ Będziesz miał realne możliwości rozwoju zawodowego poprzez udział w szkoleniach stacjonarnych, on-line oraz programach rozwojowych,
✅ Prywatną opiekę medyczną dla Ciebie i Twojej rodziny,
✅ Dostęp i dofinansowanie platformy Medicover Benefits (m.in. bilety do kina, teatru, karnety sportowe) zniżki na usługi i produkty oferowane przez spółki Medicover, grupowe ubezpieczenie NNW i inne.
Aplikuj: https://system.erecruiter.pl/FormTemplates/RecruitmentForm.aspx?WebID=f1f8ac7d1075442bb186c20054eda881"
1513333952521390,"Praca przy Al. Jerozolimskich !
Poszukuję: osoby na dział mięso, osoby do obsługi klienta na dział warzywa, kasjerów. Wymagane orzeczenie lekarskie do celów sanitarno- epidemiologicznych.
Proszę dzwonić: tel. 785-088-787"
1513333609188091,"Praca przy Al. Jerozolimskich !
Poszukuję: osoby na dział mięso, osoby do obsługi klienta na dział warzywa, kasjerów. Wymagane orzeczenie lekarskie do celów sanitarno- epidemiologicznych.
Proszę dzwonić: tel. 785-088-787"
1513330805855038,"Warszawa-Bielany. Poszukuję 3 pracowników na Dział Mięso oraz 2 Kasjerów. Proszę dzwonić, tel. 785-088-787"
1763369330744476,"https://www.facebook.com/groups/719367299887264

@wszyscy"
1621219238292820,"Szybki zarobek
Polega na rejestracji.
Każda rejestracja zajmie od 10 do 20 minut twojego czasu.
Revolut-30$
Bunq-15$
Genomo-15$
Icard-25$
Penta-50$
Zen-15$
Coinbase-15$
Opłata blikiem albo przelewem.
Szczegóły na priv."
1617431768671567,"PRACA PRZY KOMPUTERZE ‼️

Wypełnianie wniosków (90-180 zł za jeden)
Miejsce: dom (z dostępem do Internetu)
Czas pracy: 2-4 h dziennie
Zarobki: 2-7tys miesięcznie
Dodatkowe bonusy i premia na start 100 zł
Osoby pełnoletnie + polskie obywatelstwo

Zainteresowane osoby zapraszam do kontaktu :)"
1636487676765976,"Odpisywanie na wiadomość
2500zł - 5000zł /msc"
1637369400011137,Dam zarobic 200 zł za prostą rejestracje.
1639743319773745,"Nowosc od 600 do 1000 PLN !

💰 Wyplata na konto (Blik / express )

💰100% Darmowe konto , bez zamawiania kart

💰 Czas: 5-10 Minut !

❗️Napisz PV, podesle dokladna instrukcje"
1599286853819392,Jeśli chcesz dorobić do budżetu domowego pracując po 2/3 H z telefonem 📱to zapraszam do grupy Praca Online - Mama Na Swoim
1638523036562440,"Stałe comiesięczne dochody w granicach 5 tys zł miesięcznie.
Pracę wykonasz w 2 dni, umowa.
Pisz na priv."
1619756035105807,Płacę za opinie wystawione na google! pisz pv
